scheme,capacity,rate,revoked,distribution,workload_seed,cover_nodes,public_state_bytes,authority_refresh_ms,verified,measurement,state_semantics,token_bytes
HiddenCover,1048576,0.1,104858,clustered,8.0,18.0,688,3.9964,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,9.0,20.0,752,4.5062,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,10.0,16.0,624,4.9521,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,11.0,22.0,816,4.2836,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,12.0,14.0,560,4.890000000000001,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,13.0,19.0,720,4.1553,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,14.0,16.0,624,4.536499999999999,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,15.0,20.0,752,4.247800000000001,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,16.0,21.0,784,4.3381,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,17.0,20.0,752,4.8481000000000005,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,18.0,18.0,688,4.160900000000001,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,clustered,19.0,26.0,944,4.896,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,0.0,277264.0,8872560,178.47979999999998,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,1.0,277667.0,8885456,184.7211,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,2.0,277067.0,8866256,189.8382,True,2,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,3.0,277083.0,8866768,172.4123,True,3,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,4.0,277156.0,8869104,180.4003,True,4,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,5.0,278117.0,8899856,187.1017,True,5,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,6.0,276965.0,8862992,185.9079,True,6,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,7.0,277415.0,8877392,198.9168,True,7,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,8.0,277455.0,8878672,174.34359999999998,True,8,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,9.0,277646.0,8884784,179.1036,True,9,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,10.0,277322.0,8874416,179.3687,True,10,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,11.0,277473.0,8879248,177.56040000000002,True,11,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,12.0,276930.0,8861872,180.764,True,12,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,13.0,277144.0,8868720,177.6275,True,13,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,14.0,277062.0,8866096,183.6667,True,14,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,15.0,276899.0,8860880,181.1062,True,15,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,16.0,277151.0,8868944,181.4582,True,16,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,17.0,276975.0,8863312,184.5275,True,17,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,18.0,277055.0,8865872,185.257,True,18,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,random,19.0,277647.0,8884816,175.0334,True,19,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,dispersed,0.0,340788.0,10905328,212.002,True,0,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,dispersed,1.0,340788.0,10905328,215.5311,True,1,authenticated Complete-Subtree Cover,
HiddenCover,1048576,0.1,104858,dispersed,2.0,340788.0,10905328,209.37,True,2,authenticated Complete-Subtree Cover,
