scheme,capacity,revoked,distribution,workload_seed,measurement,cover_nodes,holder_upload_bytes,holder_download_bytes,holder_compute_ms,server_per_holder_ms,verified,zero_semantics
HiddenCover,16384,10,clustered,7.0,19,13.0,0,528,0.0286,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,20,13.0,0,528,0.0283,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,21,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,22,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,23,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,24,13.0,0,528,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,25,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,26,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,27,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,28,13.0,0,528,0.0285,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,7.0,29,13.0,0,528,0.0283999999999999,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,0,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,1,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,2,13.0,0,528,0.0289,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,3,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,4,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,5,13.0,0,528,0.0292,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,6,13.0,0,528,0.0288,0.0,True,no private request; no individualized server witness update
HiddenCover,16384,10,clustered,8.0,7,13.0,0,528,0.0287,0.0,True,no private request; no individualized server witness update
